	TF	Target	Sources	PMIDs	N	Factor / Gene Name
4393	PURA	FAS	TRRUST	10903433	1	PURA / FAS
4394	YY1	KDM6A	ORegAnno	22951020	1	YY1 / KDM6A
4395	RELA	RGS20	HTRI	18226221	1	RELA / RGS20
4396	NR5A2	ABCB11	TRRUST	18270374	1	NR5A2 / ABCB11
4397	RBPJ	NFKB1	HTRI|Fastforward|TRRUST	14570916|9528780|14570916	2	RBPJ / NFKB1
4398	MEF2A	MEF2A	TRRUST	18222924	1	MEF2A / MEF2A
4399	NR1I2	TNFRSF1A	HTRI	19129222	1	NR1I2 / TNFRSF1A
4400	NFKB1	IL2	TRRUST	11035116|18207244|19968887|7623820|7957556|9233628|11145913|12027419|15477007|8814256|8834450|8977179|9135552|9737979	14	NFKB1 / IL2
4401	MYC	RARB	HTRI	12695333	1	MYC / RARB
4402	BRCA1	IGF1	TRRUST	18045956	1	BRCA1 / IGF1
4403	TP53	MCM7	TRRUST	15899946	1	TP53 / MCM7
4404	CEBPB	TFF3	TRRUST	12297725	1	CEBPB / TFF3
4405	RUNX3	CLDN7	TRRUST	19706291	1	RUNX3 / CLDN7
4406	MYC	THBS4	HTRI	12747840	1	MYC / THBS4
4407	SATB1	CYBB	TRRUST	14605447	1	SATB1 / CYBB
4408	HIVEP2	HLA-C	TRRUST	1409593	1	HIVEP2 / HLA-C
4409	SPI1	MAPK1	TRRUST	22075620	1	SPI1 / MAPK1
4410	RARA	KRT18	PAZAR	7667273	1	RARA / KRT18
4411	CREB1	CRH	PAZAR	10319317	1	CREB1 / CRH
4412	NFAT5	TNF	HTRI|ORegAnno|TRRUST	11485737|16027109|11485737	2	NFAT5 / TNF
4413	EP300	MYC	TRRUST	19279113	1	EP300 / MYC
4414	ATF6	STARD4	TRRUST	16579971	1	ATF6 / STARD4
4415	GLI2	HLA-E	TFacTs	|14691458	2	GLI2 / HLA-E
4416	SP1	ADIPOQ	TRRUST	12378384	1	SP1 / ADIPOQ
4417	NANOG	YES1	TRRUST	22378194	1	NANOG / YES1
4418	GATA2	PRG2	TRRUST	10438731|9558404	2	GATA2 / PRG2
4419	SPI1	SCARB2	TRRUST	8007948	1	SPI1 / SCARB2
4420	RFXAP	HLA-DQA1	TRRUST	11258423	1	RFXAP / HLA-DQA1
4421	MZF1	MMP2	TRRUST	22846578	1	MZF1 / MMP2
4422	SP3	RASSF1	TRRUST	19450668	1	SP3 / RASSF1
4423	SP1	SOCS1	TRRUST	20644166	1	SP1 / SOCS1
4424	YBX1	MIA	TRRUST	23672612	1	YBX1 / MIA
4425	PITX2	FSHB	TRRUST	18339718	1	PITX2 / FSHB
4426	JUND	IVL	HTRI|TRRUST	10816578|10816578	1	JUND / IVL
4427	TRIP6	CDK6	TRRUST	24389100	1	TRIP6 / CDK6
4428	ESR2	AVP	TRRUST	11089536	1	ESR2 / AVP
4429	TFAP2A	ADM	HTRI|TRRUST	10848972|10848972	1	TFAP2A / ADM
4430	MYC	CSTB	HTRI	12695333	1	MYC / CSTB
4431	NFKB1	CTSB	TRRUST	15102937|18598236	2	NFKB1 / CTSB
4432	MAFK	NQO1	HTRI|TRRUST	11013233|11013233	1	MAFK / NQO1
4433	NFKB1	NCOR2	TRRUST	17876798	1	NFKB1 / NCOR2
4434	TLX1	ALDH1A1	TRRUST	18073142|18082256	2	TLX1 / ALDH1A1
4435	SNAI1	CLDN3	TRRUST	19874710	1	SNAI1 / CLDN3
4436	SFPQ	CXCL8	TRRUST	24507715	1	SFPQ / CXCL8
4437	SP1	SLC39A8	TRRUST	18556457	1	SP1 / SLC39A8
4438	YY1	LDLR	HTRI|TFacTs|TRRUST	10318878||10318878|10318878	2	YY1 / LDLR
4439	SP1	CAD	HTRI	12746293	1	SP1 / CAD
4440	NFKB1	PDK4	TRRUST	21625432	1	NFKB1 / PDK4
4441	CDX1	TBP	TRRUST	17158164	1	CDX1 / TBP
4442	CREBBP	EZH2	TRRUST	25088689	1	CREBBP / EZH2
4443	SP1	CASP3	TRRUST	11773055	1	SP1 / CASP3
4444	E2F2	MCM6	TFacTs	|10327050	2	E2F2 / MCM6
4445	SF1	CYP11A1	TRRUST	19477906	1	SF1 / CYP11A1
4446	SP3	YY1	TRRUST	22553354	1	SP3 / YY1
4447	STAT6	TLR4	TRRUST	16433852	1	STAT6 / TLR4
4448	FOS	HBEGF	PAZAR	11053978	1	FOS / HBEGF
4449	JUND	FGFBP1	TRRUST	10753873	1	JUND / FGFBP1
4450	TP53	RAD51	TFacTs	|16398215	2	TP53 / RAD51
4451	POU5F1	THY1	TRRUST	17068183	1	POU5F1 / THY1
4452	STAT1	ACAT1	TRRUST	18000807	1	STAT1 / ACAT1
4453	GLI2	CTR9	TFacTs	|14691458	2	GLI2 / CTR9
4454	SP1	HSD3B1	HTRI|TRRUST	8584035|8584035	1	SP1 / HSD3B1
4455	TP53	CASP1	HTRI|TRRUST	11278253|11278253	1	TP53 / CASP1
4456	NKX3-1	KLK3	TRRUST	17483333	1	NKX3-1 / KLK3
4457	BCL6	STAT3	TRRUST	17951530	1	BCL6 / STAT3
4458	MYC	H2AFZ	HTRI	12695333	1	MYC / H2AFZ
4459	MYCN	CDKN1A	TRRUST	19885598	1	MYCN / CDKN1A
4460	VDR	IL2	TRRUST	7565732	1	VDR / IL2
4461	ATRX	HBA2	TRRUST	7697714	1	ATRX / HBA2
4462	NR0B1	PBX1	Fastforward|TRRUST	18984668|18984668	1	NR0B1 / PBX1
4463	FOXO4	STK11	ORegAnno	22412893	1	FOXO4 / STK11
4464	VHL	DAB2	TRRUST	15824735	1	VHL / DAB2
4465	TBP	FUS	TRRUST	19841068	1	TBP / FUS
4466	RELA	KLK3	TRRUST	15517885	1	RELA / KLK3
4467	MEF2A	COX6A1	TRRUST	18222924	1	MEF2A / COX6A1
4468	SP1	WRN	TRRUST	11896071	1	SP1 / WRN
4469	GLI2	IFITM1	TFacTs	|14691458	2	GLI2 / IFITM1
4470	NANOG	LAMB1	TRRUST	15983365	1	NANOG / LAMB1
4471	GATA1	MUC1	TRRUST	17078870	1	GATA1 / MUC1
4472	CTCF	TYSND1	ORegAnno	22951020	1	CTCF / TYSND1
4473	NR1I2	BCL2L1	TRRUST	16085054	1	NR1I2 / BCL2L1
4474	ETS1	PARP1	TRRUST	11973649|24448423|10435618	3	ETS1 / PARP1
4475	CLOCK	NR3C1	TRRUST	21164265	1	CLOCK / NR3C1
4476	SOX6	CCNA2	TRRUST	21084391	1	SOX6 / CCNA2
4477	JUND	SF1	ORegAnno	22951020	1	JUND / SF1
4478	MSC	LTA	TRRUST	15052269	1	MSC / LTA
4479	NFKB1	CFTR	TRRUST	11114294	1	NFKB1 / CFTR
4480	KLF4	CD14	TRRUST	17762869	1	KLF4 / CD14
4481	NF1	AFP	TRRUST	7549116	1	NF1 / AFP
4482	NKX3-1	TMPRSS2	TRRUST	24418414	1	NKX3-1 / TMPRSS2
4483	SRF	KPNA1	TRRUST	21131446	1	SRF / KPNA1
4484	PPARG	MYC	TRRUST	11973610	1	PPARG / MYC
4485	CTCF	RBM39	ORegAnno	22951020	1	CTCF / RBM39
4486	NKX2-5	GATA4	Fastforward|TRRUST	19479054|19479054	1	NKX2-5 / GATA4
4487	RARA	ABCC3	TRRUST	17272513	1	RARA / ABCC3
4488	CREB1	MSMB	TRRUST	9704017	1	CREB1 / MSMB
4489	FLI1	GP9	TRRUST	10194443|15466856	2	FLI1 / GP9
4490	FOXO3	GCC2	TFacTs	18239069	1	FOXO3 / GCC2
4491	RFX1	HDAC1	TRRUST	16464847	1	RFX1 / HDAC1
4492	RFX1	CD70	TRRUST	21192791	1	RFX1 / CD70
4493	JUN	IFNG	HTRI|TFacTs|TRRUST	18641343|11943142|12626576|18641343|20006311|20304822|12836278|7759501	7	JUN / IFNG
4494	SOX10	RET	PAZAR|TRRUST	11032856|20977903|14523991	3	SOX10 / RET
4495	APEX1	PTH	TRRUST	14633989	1	APEX1 / PTH
4496	GLI1	MYO15A	TFacTs	|11719506	2	GLI1 / MYO15A
4497	ZFHX3	AFP	TRRUST	14654895|15750593	2	ZFHX3 / AFP
4498	NPM1	DNMT1	TRRUST	19887607	1	NPM1 / DNMT1
4499	ZEB2	VIM	TRRUST	22227038	1	ZEB2 / VIM
4500	GLI1	AKT1	TRRUST	23580656	1	GLI1 / AKT1
4501	ERG	WNT11	TRRUST	21242973	1	ERG / WNT11
4502	PAX3	SHH	TRRUST	20569257	1	PAX3 / SHH
4503	EZH2	PAX8	TRRUST	21289264	1	EZH2 / PAX8
4504	RXRA	IL2RB	TRRUST	12149223	1	RXRA / IL2RB
4505	NR4A1	MEF2C	Fastforward	18079734	1	NR4A1 / MEF2C
4506	ZFP36	VEGFA	TRRUST	21507959|21656745	2	ZFP36 / VEGFA
4507	TP53	BCL3	TRRUST	12808109	1	TP53 / BCL3
4508	YBX1	ERBB2	TRRUST	19648825|20838384	2	YBX1 / ERBB2
4509	SRF	SMN1	TRRUST	15550677	1	SRF / SMN1
4510	MYC	UROD	HTRI	12695333	1	MYC / UROD
4511	NR4A2	CRH	TRRUST	11315917	1	NR4A2 / CRH
4512	TBX21	CXCR3	TRRUST	14500650|21540308	2	TBX21 / CXCR3
4513	MEF2C	MYOG	Fastforward	839150	1	MEF2C / MYOG
4514	HOXC9	HOXB8	TRRUST	18534812	1	HOXC9 / HOXB8
4515	TCF3	RAG1	TRRUST	21655267	1	TCF3 / RAG1
4516	ATOH1	MUC2	TRRUST	17000673	1	ATOH1 / MUC2
4517	NFKB1	MMP9	ORegAnno|PAZAR|TRRUST	16014933|16014933|10359016|12193473|14600595|15536164|16014933|16687076|17121934|17174275|17186550|17498959|18056465|18298869|18567920|18801463|18843978|19303700|19454280|19539355|21963718|15605368|18566231|11376631|12105194|14755547|15175338|17158602|17673602|17922642|18357389|19662350|19783786|20103608|20332461|7860222|9500201|9679762	36	NFKB1 / MMP9
4518	POU2F1	GNRH1	TRRUST	15319450	1	POU2F1 / GNRH1
4519	LEF1	EDA	TRRUST	12039047	1	LEF1 / EDA
4520	REST	TPH2	TRRUST	17613521	1	REST / TPH2
4521	RUNX1	KLK3	HTRI|TRRUST	16237704|16237704	1	RUNX1 / KLK3
4522	SP1	TNFSF14	TRRUST	12215452	1	SP1 / TNFSF14
4523	IRF3	ABCC2	TRRUST	15185298	1	IRF3 / ABCC2
4524	POU5F1	SEMA6A	TRRUST	17671748	1	POU5F1 / SEMA6A
4525	MEF2A	NRF1	TRRUST	18222924	1	MEF2A / NRF1
4526	ETV4	ETS1	TRRUST	8247540	1	ETV4 / ETS1
4527	DNMT1	SFRP1	TRRUST	23770846|24374650	2	DNMT1 / SFRP1
4528	MYC	PSAP	HTRI	12695333	1	MYC / PSAP
4529	ETS2	IL12B	TRRUST	10657616	1	ETS2 / IL12B
4530	SP1	TAF7	HTRI|Fastforward|TRRUST	12364593|12364593|12364593|11340078	2	SP1 / TAF7
4531	NFKB1	FGF8	TRRUST	16683270	1	NFKB1 / FGF8
4532	MYCN	TP53	HTRI|Fastforward|TRRUST	20145147|20145147|19885598|21862876	3	MYCN / TP53
4533	ESR1	NBPF4	HTRI	19376833	1	ESR1 / NBPF4
4534	ETS1	CXCR4	TRRUST	21741415	1	ETS1 / CXCR4
4535	STAT1	HDAC7	ORegAnno	22951020	1	STAT1 / HDAC7
4536	MYB	SNAI2	Fastforward	20622260	1	MYB / SNAI2
4537	POU5F1	HLX	TRRUST	17068183	1	POU5F1 / HLX
4538	NFIC	CYP17A1	TRRUST	14684846|11463853	2	NFIC / CYP17A1
4539	HDAC1	NOS3	TRRUST	22848708	1	HDAC1 / NOS3
4540	NR4A2	CXCL8	TRRUST	19732956	1	NR4A2 / CXCL8
4541	RELA	TFF3	TRRUST	12912861|12297725	2	RELA / TFF3
4542	GLI2	SOCS1	TRRUST	24058673	1	GLI2 / SOCS1
4543	SP1	MAML1	Fastforward|PAZAR	10722737|10722737|10919991	2	SP1 / MAML1
4544	CDX2	AXIN2	TRRUST	23393221|24501326	2	CDX2 / AXIN2
4545	YY1	CPSF2	ORegAnno	22951020	1	YY1 / CPSF2
4546	DNMT1	IL3	TRRUST	15735013	1	DNMT1 / IL3
4547	PLAGL2	METAP2	TRRUST	17462995	1	PLAGL2 / METAP2
4548	KLF2	CCR5	TRRUST	22988032	1	KLF2 / CCR5
4549	E2F1	ISYNA1	TFacTs|TRRUST	|15464731|15464731	2	E2F1 / ISYNA1
4550	ETS1	IL2RB	TRRUST	8413220	1	ETS1 / IL2RB
4551	SREBF2	FDFT1	TFacTs|TRRUST	|9575211|11008488|11111077	4	SREBF2 / FDFT1
4552	ABL1	CDKN1A	TRRUST	11753601|9916993	2	ABL1 / CDKN1A
4553	RAB40B	RARRES3	PAZAR	15850806	1	RAB40B / RARRES3
4554	RELA	TSLP	TRRUST	22270071	1	RELA / TSLP
4555	SIRT1	MCL1	TRRUST	22483777	1	SIRT1 / MCL1
4556	SP1	COL1A1	HTRI|TRRUST	17698844|10082137|10091149|10775443|12138160|16564026|7504695|7590335	8	SP1 / COL1A1
4557	SP2	TRA	TRRUST	1341900	1	SP2 / TRA
4558	KLF4	CDH5	TRRUST	20724706	1	KLF4 / CDH5
4559	NFE2L2	GCLC	TFacTs|TRRUST	|15629866|22459801|16054171	4	NFE2L2 / GCLC
4560	YY1	NR3C1	Fastforward|TFacTs|TRRUST	8702520||10030686|12039077|10030686	4	YY1 / NR3C1
4561	NKX2-5	NPPB	TRRUST	15837525	1	NKX2-5 / NPPB
4562	MAF	GCLC	TRRUST	16054171	1	MAF / GCLC
4563	CTNNB1	MSLN	TFacTs	15890249	1	CTNNB1 / MSLN
4564	TP53BP1	BRCA1	Fastforward|TRRUST	15970701|15970701|21914189	2	TP53BP1 / BRCA1
4565	E2F1	MEIS1	HTRI	12629508	1	E2F1 / MEIS1
4566	HNRNPK	MYC	Fastforward	2690070|7721877|7876260|8349701|8355712|8649373|8831693	7	HNRNPK / MYC
4567	PPARGC1A	CYP2C9	TRRUST	16882880	1	PPARGC1A / CYP2C9
4568	SIRT1	HSF1	TRRUST	23349863|19229036	2	SIRT1 / HSF1
4569	DRAP1	TBP	TRRUST	15509807	1	DRAP1 / TBP
4570	TP63	KLF12	HTRI	17521434	1	TP63 / KLF12
4571	ZNF300	CDKN1A	TRRUST	21777376	1	ZNF300 / CDKN1A
4572	MYC	PTGER2	HTRI	12695333	1	MYC / PTGER2
4573	KLF4	IL6	TRRUST	23846700	1	KLF4 / IL6
4574	EGR1	TH	TRRUST	20124442	1	EGR1 / TH
4575	NRF1	FMR1	HTRI|TRRUST	16886907|11058604|16500891|15175277|9302255|9328468	6	NRF1 / FMR1
4576	AR	SESN1	TRRUST	16751804	1	AR / SESN1
4577	CDKN1A	MYC	TFacTs	16923815	1	CDKN1A / MYC
4578	XRCC5	TFRC	PAZAR	8022786	1	XRCC5 / TFRC
4579	HDGF	VEGFA	TRRUST	14662017|21302807	2	HDGF / VEGFA
4580	NFYC	FXR2	TRRUST	16886907	1	NFYC / FXR2
4581	PML	EAF2	TRRUST	18089734	1	PML / EAF2
4582	STAT1	NOX4	TRRUST	19834108	1	STAT1 / NOX4
4583	DNMT1	MGMT	TRRUST	18555750	1	DNMT1 / MGMT
4584	STAT2	IFNA1	TRRUST	15827155	1	STAT2 / IFNA1
4585	YY1	TNFRSF10B	TFacTs|TRRUST	|18778787|17431117|17530016|18778787	4	YY1 / TNFRSF10B
4586	SMAD4	FBXO32	TRRUST	20065949	1	SMAD4 / FBXO32
4587	HOXB7	WNT5A	TRRUST	21183939	1	HOXB7 / WNT5A
4588	BRCA2	PSMD6	TRRUST	17563742	1	BRCA2 / PSMD6
4589	NFIL3	IFNG	TRRUST	7565758	1	NFIL3 / IFNG
4590	PAX5	PRKCE	TRRUST	9190940	1	PAX5 / PRKCE
4591	SMAD3	APOC3	TFacTs|TRRUST	10995777|10995777	1	SMAD3 / APOC3
4592	ETV7	ETV6	TRRUST	22615925	1	ETV7 / ETV6
4593	HNF1A	SLC22A9	HTRI|TRRUST	20829431|20829431	1	HNF1A / SLC22A9
4594	E2F1	MT-CO1	TFacTs	|10998368	2	E2F1 / MT-CO1
4595	STAT3	MMP3	TRRUST	17460772|23967200	2	STAT3 / MMP3
4596	TP63	KLF4	HTRI|TRRUST	20972454|20972454	1	TP63 / KLF4
4597	NFKB1	MUC5AC	TRRUST	19841186	1	NFKB1 / MUC5AC
4598	ETS2	ANPEP	TRRUST	14507917	1	ETS2 / ANPEP
4599	TFAP2A	ADRA1A	TRRUST	10520459	1	TFAP2A / ADRA1A
4600	MYB	CXCL12	HTRI	20043041	1	MYB / CXCL12
4601	SOX10	PMP22	TRRUST	11734543	1	SOX10 / PMP22
4602	AR	AR	Fastforward	10551783	1	AR / AR
4603	E2F4	LUC7L	ORegAnno	22951020	1	E2F4 / LUC7L
4604	TFAP2A	ECM1	TRRUST	17187826	1	TFAP2A / ECM1
4605	USF1	NPHS2	TRRUST	16572591	1	USF1 / NPHS2
4606	SP3	MMP2	HTRI|TRRUST	15317818|10506168|15317818	2	SP3 / MMP2
4607	PPARA	APOB	TRRUST	11925428|16542871	2	PPARA / APOB
4608	PPARG	MMP9	TRRUST	20021931	1	PPARG / MMP9
4609	NANOG	LXN	TRRUST	23364479	1	NANOG / LXN
4610	CREB1	SERPINE1	HTRI	20136501	1	CREB1 / SERPINE1
4611	CTCF	CRYAA	ORegAnno	22951020	1	CTCF / CRYAA
4612	NFE2L2	SOD2	TRRUST	22493435	1	NFE2L2 / SOD2
4613	CUX1	CR2	TRRUST	19487031	1	CUX1 / CR2
4614	ZNF16	CDKN2A	HTRI	19340300	1	ZNF16 / CDKN2A
4615	TWIST2	CDH2	TRRUST	19581928|21796367	2	TWIST2 / CDH2
4616	GTF2I	SIRT1	TRRUST	21407215	1	GTF2I / SIRT1
4617	HIF1A	ACE2	TRRUST	19592460	1	HIF1A / ACE2
4618	CREM	DUSP4	TRRUST	21325296	1	CREM / DUSP4
4619	CEBPB	GADD45G	ORTI|TRRUST	|11012671	2	CEBPB / GADD45G
4620	ZNF148	ODC1	TRRUST	10448078	1	ZNF148 / ODC1
4621	PAX5	CDKN1A	TRRUST	22105368	1	PAX5 / CDKN1A
4622	STAT3	ABCA1	TRRUST	19783654	1	STAT3 / ABCA1
4623	NR1I2	CLMP	HTRI	19129222	1	NR1I2 / CLMP
4624	NFYB	ABCB1	TRRUST	18234965	1	NFYB / ABCB1
4625	ELK1	ZFP36	TRRUST	22433566	1	ELK1 / ZFP36
4626	RELA	FAS	TRRUST	19628709|9733827|16784892|10871852|16317104	5	RELA / FAS
4627	HIF1A	MMP2	TRRUST	17335808|17332917|18570733	3	HIF1A / MMP2
4628	HMGA1	IGFBP1	Fastforward	10102273|10358014|7532283|9322942	4	HMGA1 / IGFBP1
4629	E2F1	CDK1	TFacTs|TRRUST	11799067|14618416	2	E2F1 / CDK1
4630	MAZ	MMP1	TRRUST	19028685	1	MAZ / MMP1
4631	STAT1	FOXP3	TRRUST	19124747	1	STAT1 / FOXP3
4632	MYCN	MCM2	HTRI|TRRUST	17826980|17826980	1	MYCN / MCM2
4633	E2F4	SMARCA5	HTRI	11799066	1	E2F4 / SMARCA5
4634	CTNNB1	RB1	TRRUST	16628468	1	CTNNB1 / RB1
4635	NR4A1	HSD3B2	TRRUST	15666793|15208301|20083153|23874725	4	NR4A1 / HSD3B2
4636	MYC	CLNS1A	HTRI	12695333	1	MYC / CLNS1A
4637	HNF4A	AKR1C4	HTRI|ORegAnno|TFacTs|TRRUST	11284743|12220531|12220531||11284743|12220531|11284743	3	HNF4A / AKR1C4
4638	HBP1	CEBPA	TFacTs	|16179914	2	HBP1 / CEBPA
4639	TP53	HIPK2	TRRUST	11740489	1	TP53 / HIPK2
4640	SPI1	FLI1	TRRUST	10523830	1	SPI1 / FLI1
4641	CDX2	FUT2	TRRUST	22547830	1	CDX2 / FUT2
4642	SFPQ	DNAAF4	TRRUST	18445785	1	SFPQ / DNAAF4
4643	MYB	CEBPA	TRRUST	10706719	1	MYB / CEBPA
4644	SP1	MAOB	HTRI|TRRUST	11259630|11259630|20980443	2	SP1 / MAOB
4645	RELA	OXTR	TRRUST	21734268	1	RELA / OXTR
4646	NKX3-1	CCND1	TRRUST	22179513	1	NKX3-1 / CCND1
4647	MITF	ACP5	TFacTs|TRRUST	1999537|11481336|15737031|11425859	4	MITF / ACP5
4648	YY1	POSTN	TRRUST	21839814	1	YY1 / POSTN
4649	POU2F1	TWIST1	TRRUST	23836662	1	POU2F1 / TWIST1
4650	CTNNB1	CEACAM5	TFacTs	15890249	1	CTNNB1 / CEACAM5
4651	MYC	MDM2	HTRI	12695333	1	MYC / MDM2
4652	ATF4	FGF21	TRRUST	22233381	1	ATF4 / FGF21
4653	NR1H4	EDN1	TRRUST	16357303	1	NR1H4 / EDN1
4654	JUNB	SFTPD	TRRUST	10915785	1	JUNB / SFTPD
4655	FOSB	DNAJB4	HTRI	17510411	1	FOSB / DNAJB4
4656	GATA3	CD40LG	HTRI|TRRUST	18719603|18719603	1	GATA3 / CD40LG
4657	EGR1	CHGA	TFacTs|TRRUST	|12456801|12456801	2	EGR1 / CHGA
4658	REL	CDKN1A	TRRUST	15566959	1	REL / CDKN1A
4659	CTNNB1	EPCAM	TFacTs	18006828	1	CTNNB1 / EPCAM
4660	NR1I2	CRCP	HTRI	19129222	1	NR1I2 / CRCP
4661	ZNF382	STAT5B	TRRUST	20682794	1	ZNF382 / STAT5B
4662	ESRRA	NR2F6	TRRUST	15955695	1	ESRRA / NR2F6
4663	FOXA1	EPHX1	PAZAR	15465926	1	FOXA1 / EPHX1
4664	SPIB	IL10	HTRI	20072143	1	SPIB / IL10
4665	EGR1	PPARG	HTRI|TRRUST	12011097|12011097	1	EGR1 / PPARG
4666	NR1I2	CSHL1	HTRI	19129222	1	NR1I2 / CSHL1
4667	NR1I3	UGT1A1	HTRI|TRRUST	11343253|18172616|11343253	2	NR1I3 / UGT1A1
4668	TCF4	HECA	TRRUST	22100912	1	TCF4 / HECA
4669	FOXO3	OGT	TFacTs	|12351634	2	FOXO3 / OGT
4670	SP1	C4B	TRRUST	9574539	1	SP1 / C4B
4671	NFYA	CCND2	TRRUST	9339900	1	NFYA / CCND2
4672	TAL1	FCRL1	HTRI	20028976	1	TAL1 / FCRL1
4673	MKL1	TAGLN	TRRUST	14970199	1	MKL1 / TAGLN
4674	MYCN	MCM10	TRRUST	17826980	1	MYCN / MCM10
4675	ZNF224	ALDOA	HTRI|TRRUST	17900823|16150558|17900823	2	ZNF224 / ALDOA
4676	MYB	WT1	TRRUST	18064385	1	MYB / WT1
4677	STAT1	CFTR	TRRUST	19061877	1	STAT1 / CFTR
4678	POU2F1	GCM1	TRRUST	11071865	1	POU2F1 / GCM1
4679	YY1	CCR5	TRRUST	12571248|15737629	2	YY1 / CCR5
4680	AHR	FOS	HTRI|Fastforward|TRRUST	10478842|10478842|10478842	1	AHR / FOS
4681	SP1	ADH6	TRRUST	12004059	1	SP1 / ADH6
4682	ENO1	HSD3B2	TRRUST	15642786	1	ENO1 / HSD3B2
4683	STAT6	CYSLTR1	TRRUST	16210619	1	STAT6 / CYSLTR1
4684	SP3	ETF1	TRRUST	14563555	1	SP3 / ETF1
4685	USF1	BRCA2	Fastforward|TRRUST	10961992|10557089|10557089	2	USF1 / BRCA2
4686	CTCF	ACVR1C	ORegAnno	22951020	1	CTCF / ACVR1C
4687	USF1	GLI1	Fastforward	11948912	1	USF1 / GLI1
4688	CDX1	PTGS2	TRRUST	21613300	1	CDX1 / PTGS2
4689	MYC	OCA2	HTRI	12695333	1	MYC / OCA2
4690	SP1	HPR	HTRI|TRRUST	12088866|12088866	1	SP1 / HPR
4691	BRCA1	STAT1	TRRUST	17374731	1	BRCA1 / STAT1
4692	TWIST1	PFDN4	TRRUST	19051271	1	TWIST1 / PFDN4
4693	TP63	ZNRF2	HTRI|PAZAR	17521434|17521434	1	TP63 / ZNRF2
4694	MYC	LMX1B	HTRI	12747840	1	MYC / LMX1B
4695	TP53	CASP3	TRRUST	21859835	1	TP53 / CASP3
4696	TP63	BHLHE40	Fastforward	18025081	1	TP63 / BHLHE40
4697	TP53	SERPINB5	TFacTs	|17204482|10692390	3	TP53 / SERPINB5
4698	JUN	MMP12	HTRI|TRRUST	12622720|11444842	2	JUN / MMP12
4699	SNAI1	VDR	TRRUST	15322538|16804902|20138990	3	SNAI1 / VDR
4700	SP1	PRNP	TRRUST	18990686|23131565	2	SP1 / PRNP
4701	IFI16	WT1	TRRUST	18231640	1	IFI16 / WT1
4702	PLAG1	IGF2	TRRUST	10646861|11284386|11888928|14695992|14712223|23023303	6	PLAG1 / IGF2
4703	YY1	MYC	Fastforward|TFacTs|TRRUST	18490439||17434929|18490439|19279113|10528225|17434929|9797456	6	YY1 / MYC
4704	IRF1	BCL2	TRRUST	10918594	1	IRF1 / BCL2
4705	SP3	CYP3A7	HTRI|TRRUST	11495920|11495920	1	SP3 / CYP3A7
4706	HDAC5	SLC2A4	TRRUST	22991226|23899560	2	HDAC5 / SLC2A4
4707	SIRT1	TNFRSF10B	TRRUST	22483777	1	SIRT1 / TNFRSF10B
4708	MBD2	POU5F1	TRRUST	22867868	1	MBD2 / POU5F1
4709	NFE2L1	NQO1	TRRUST	11013233	1	NFE2L1 / NQO1
4710	RELA	SFTPA1	TRRUST	12040027	1	RELA / SFTPA1
4711	PLAG1	CRLF1	TRRUST	14712223	1	PLAG1 / CRLF1
4712	PAX6	SIX3	TRRUST	11554737	1	PAX6 / SIX3
4713	RFX5	HLA-DMA	TRRUST	11258423|7495736	2	RFX5 / HLA-DMA
4714	MYB	GSTM1	TRRUST	14576818	1	MYB / GSTM1
4715	STAT3	CYR61	TRRUST	22401280	1	STAT3 / CYR61
4716	NFKB1	GDNF	TRRUST	9729303	1	NFKB1 / GDNF
4717	KRT3	TNF	ORegAnno	16027109	1	KRT3 / TNF
4718	IFI16	ICAM1	TRRUST	17699163	1	IFI16 / ICAM1
4719	HDAC4	WT1	TRRUST	18064385	1	HDAC4 / WT1
4720	E2F4	CDCA4	HTRI|TFacTs	16984923||16984923	2	E2F4 / CDCA4
4721	TP53	CTSD	TRRUST	10029407	1	TP53 / CTSD
4722	TFAP4	IFNG	TRRUST	12836278	1	TFAP4 / IFNG
4723	NKX3-1	VEGFA	TRRUST	18974119	1	NKX3-1 / VEGFA
4724	STAT6	ADRA2B	TRRUST	15037199	1	STAT6 / ADRA2B
4725	WT1	THBS1	TRRUST	15542786|15618543	2	WT1 / THBS1
4726	TP53	SLC6A6	TRRUST	16734743	1	TP53 / SLC6A6
4727	MYC	PIGF	HTRI	12747840	1	MYC / PIGF
4728	MYC	CMAS	HTRI	12747840	1	MYC / CMAS
4729	SP1	APOA1	HTRI|TRRUST	10829013|10829013	1	SP1 / APOA1
4730	BRCA1	GADD45A	TRRUST	10962562|17428466|18025037|18350249|11777930|12647291	6	BRCA1 / GADD45A
4731	CTCF	PLXNB3	ORegAnno	22951020	1	CTCF / PLXNB3
4732	PAX6	ITGB1	TRRUST	10954416	1	PAX6 / ITGB1
4733	SP3	ID4	TRRUST	9516472	1	SP3 / ID4
4734	JUN	HEY1	TRRUST	15314183	1	JUN / HEY1
4735	ZNF143	TALDO1	TRRUST	14702349	1	ZNF143 / TALDO1
4736	DNMT1	SFRP5	TRRUST	24374650	1	DNMT1 / SFRP5
4737	CEBPA	HP	HTRI	12074569	1	CEBPA / HP
4738	SP1	PELO	TRRUST	17669516	1	SP1 / PELO
4739	RELA	CDH1	TRRUST	20683022	1	RELA / CDH1
4740	ESR1	VEGFA	HTRI|TRRUST	10995484|14647449|19398483|10995484|14647449	3	ESR1 / VEGFA
