TF	Target	Sources	PMIDs	N
E2F2	MCM6	TFacTs	|10327050	2
SF1	CYP11A1	TRRUST	19477906	1
SP3	YY1	TRRUST	22553354	1
STAT6	TLR4	TRRUST	16433852	1
FOS	HBEGF	PAZAR	11053978	1
JUND	FGFBP1	TRRUST	10753873	1
TP53	RAD51	TFacTs	|16398215	2
POU5F1	THY1	TRRUST	17068183	1
STAT1	ACAT1	TRRUST	18000807	1
GLI2	CTR9	TFacTs	|14691458	2
SP1	HSD3B1	HTRI|TRRUST	8584035|8584035	1
TP53	CASP1	HTRI|TRRUST	11278253|11278253	1
NKX3-1	KLK3	TRRUST	17483333	1
BCL6	STAT3	TRRUST	17951530	1
MYC	H2AFZ	HTRI	12695333	1
MYCN	CDKN1A	TRRUST	19885598	1
VDR	IL2	TRRUST	7565732	1
ATRX	HBA2	TRRUST	7697714	1
NR0B1	PBX1	Fastforward|TRRUST	18984668|18984668	1
FOXO4	STK11	ORegAnno	22412893	1
VHL	DAB2	TRRUST	15824735	1
TBP	FUS	TRRUST	19841068	1
RELA	KLK3	TRRUST	15517885	1
MEF2A	COX6A1	TRRUST	18222924	1
SP1	WRN	TRRUST	11896071	1
GLI2	IFITM1	TFacTs	|14691458	2
NANOG	LAMB1	TRRUST	15983365	1
GATA1	MUC1	TRRUST	17078870	1
CTCF	TYSND1	ORegAnno	22951020	1
NR1I2	BCL2L1	TRRUST	16085054	1
ETS1	PARP1	TRRUST	11973649|24448423|10435618	3
CLOCK	NR3C1	TRRUST	21164265	1
SOX6	CCNA2	TRRUST	21084391	1
JUND	SF1	ORegAnno	22951020	1
MSC	LTA	TRRUST	15052269	1
NFKB1	CFTR	TRRUST	11114294	1
KLF4	CD14	TRRUST	17762869	1
NF1	AFP	TRRUST	7549116	1
NKX3-1	TMPRSS2	TRRUST	24418414	1
SRF	KPNA1	TRRUST	21131446	1
PPARG	MYC	TRRUST	11973610	1
CTCF	RBM39	ORegAnno	22951020	1
NKX2-5	GATA4	Fastforward|TRRUST	19479054|19479054	1
RARA	ABCC3	TRRUST	17272513	1
CREB1	MSMB	TRRUST	9704017	1
FLI1	GP9	TRRUST	10194443|15466856	2
FOXO3	GCC2	TFacTs	18239069	1
RFX1	HDAC1	TRRUST	16464847	1
RFX1	CD70	TRRUST	21192791	1
JUN	IFNG	HTRI|TFacTs|TRRUST	18641343|11943142|12626576|18641343|20006311|20304822|12836278|7759501	7
SOX10	RET	PAZAR|TRRUST	11032856|20977903|14523991	3
APEX1	PTH	TRRUST	14633989	1
GLI1	MYO15A	TFacTs	|11719506	2
ZFHX3	AFP	TRRUST	14654895|15750593	2
NPM1	DNMT1	TRRUST	19887607	1
ZEB2	VIM	TRRUST	22227038	1
GLI1	AKT1	TRRUST	23580656	1
ERG	WNT11	TRRUST	21242973	1
PAX3	SHH	TRRUST	20569257	1
EZH2	PAX8	TRRUST	21289264	1
RXRA	IL2RB	TRRUST	12149223	1
NR4A1	MEF2C	Fastforward	18079734	1
ZFP36	VEGFA	TRRUST	21507959|21656745	2
TP53	BCL3	TRRUST	12808109	1
YBX1	ERBB2	TRRUST	19648825|20838384	2
SRF	SMN1	TRRUST	15550677	1
MYC	UROD	HTRI	12695333	1
NR4A2	CRH	TRRUST	11315917	1
TBX21	CXCR3	TRRUST	14500650|21540308	2
MEF2C	MYOG	Fastforward	839150	1
HOXC9	HOXB8	TRRUST	18534812	1
TCF3	RAG1	TRRUST	21655267	1
ATOH1	MUC2	TRRUST	17000673	1
NFKB1	MMP9	ORegAnno|PAZAR|TRRUST	16014933|16014933|10359016|12193473|14600595|15536164|16014933|16687076|17121934|17174275|17186550|17498959|18056465|18298869|18567920|18801463|18843978|19303700|19454280|19539355|21963718|15605368|18566231|11376631|12105194|14755547|15175338|17158602|17673602|17922642|18357389|19662350|19783786|20103608|20332461|7860222|9500201|9679762	36
POU2F1	GNRH1	TRRUST	15319450	1
LEF1	EDA	TRRUST	12039047	1
REST	TPH2	TRRUST	17613521	1
RUNX1	KLK3	HTRI|TRRUST	16237704|16237704	1
SP1	TNFSF14	TRRUST	12215452	1
IRF3	ABCC2	TRRUST	15185298	1
POU5F1	SEMA6A	TRRUST	17671748	1
MEF2A	NRF1	TRRUST	18222924	1
ETV4	ETS1	TRRUST	8247540	1
DNMT1	SFRP1	TRRUST	23770846|24374650	2
MYC	PSAP	HTRI	12695333	1
ETS2	IL12B	TRRUST	10657616	1
SP1	TAF7	HTRI|Fastforward|TRRUST	12364593|12364593|12364593|11340078	2
NFKB1	FGF8	TRRUST	16683270	1
MYCN	TP53	HTRI|Fastforward|TRRUST	20145147|20145147|19885598|21862876	3
ESR1	NBPF4	HTRI	19376833	1
ETS1	CXCR4	TRRUST	21741415	1
STAT1	HDAC7	ORegAnno	22951020	1
MYB	SNAI2	Fastforward	20622260	1
POU5F1	HLX	TRRUST	17068183	1
NFIC	CYP17A1	TRRUST	14684846|11463853	2
HDAC1	NOS3	TRRUST	22848708	1
NR4A2	CXCL8	TRRUST	19732956	1
RELA	TFF3	TRRUST	12912861|12297725	2
GLI2	SOCS1	TRRUST	24058673	1
SP1	MAML1	Fastforward|PAZAR	10722737|10722737|10919991	2
CDX2	AXIN2	TRRUST	23393221|24501326	2
YY1	CPSF2	ORegAnno	22951020	1
DNMT1	IL3	TRRUST	15735013	1
PLAGL2	METAP2	TRRUST	17462995	1
KLF2	CCR5	TRRUST	22988032	1
E2F1	ISYNA1	TFacTs|TRRUST	|15464731|15464731	2
ETS1	IL2RB	TRRUST	8413220	1
SREBF2	FDFT1	TFacTs|TRRUST	|9575211|11008488|11111077	4
ABL1	CDKN1A	TRRUST	11753601|9916993	2
RAB40B	RARRES3	PAZAR	15850806	1
RELA	TSLP	TRRUST	22270071	1
SIRT1	MCL1	TRRUST	22483777	1
SP1	COL1A1	HTRI|TRRUST	17698844|10082137|10091149|10775443|12138160|16564026|7504695|7590335	8
SP2	TRA	TRRUST	1341900	1
KLF4	CDH5	TRRUST	20724706	1
NFE2L2	GCLC	TFacTs|TRRUST	|15629866|22459801|16054171	4
YY1	NR3C1	Fastforward|TFacTs|TRRUST	8702520||10030686|12039077|10030686	4
NKX2-5	NPPB	TRRUST	15837525	1
MAF	GCLC	TRRUST	16054171	1
CTNNB1	MSLN	TFacTs	15890249	1
TP53BP1	BRCA1	Fastforward|TRRUST	15970701|15970701|21914189	2
E2F1	MEIS1	HTRI	12629508	1
HNRNPK	MYC	Fastforward	2690070|7721877|7876260|8349701|8355712|8649373|8831693	7
PPARGC1A	CYP2C9	TRRUST	16882880	1
SIRT1	HSF1	TRRUST	23349863|19229036	2
DRAP1	TBP	TRRUST	15509807	1
TP63	KLF12	HTRI	17521434	1
ZNF300	CDKN1A	TRRUST	21777376	1
MYC	PTGER2	HTRI	12695333	1
KLF4	IL6	TRRUST	23846700	1
EGR1	TH	TRRUST	20124442	1
NRF1	FMR1	HTRI|TRRUST	16886907|11058604|16500891|15175277|9302255|9328468	6
AR	SESN1	TRRUST	16751804	1
CDKN1A	MYC	TFacTs	16923815	1
XRCC5	TFRC	PAZAR	8022786	1
HDGF	VEGFA	TRRUST	14662017|21302807	2
NFYC	FXR2	TRRUST	16886907	1
PML	EAF2	TRRUST	18089734	1
STAT1	NOX4	TRRUST	19834108	1
DNMT1	MGMT	TRRUST	18555750	1
STAT2	IFNA1	TRRUST	15827155	1
YY1	TNFRSF10B	TFacTs|TRRUST	|18778787|17431117|17530016|18778787	4
SMAD4	FBXO32	TRRUST	20065949	1
HOXB7	WNT5A	TRRUST	21183939	1
BRCA2	PSMD6	TRRUST	17563742	1
NFIL3	IFNG	TRRUST	7565758	1
PAX5	PRKCE	TRRUST	9190940	1
SMAD3	APOC3	TFacTs|TRRUST	10995777|10995777	1
ETV7	ETV6	TRRUST	22615925	1
HNF1A	SLC22A9	HTRI|TRRUST	20829431|20829431	1
E2F1	MT-CO1	TFacTs	|10998368	2
STAT3	MMP3	TRRUST	17460772|23967200	2
TP63	KLF4	HTRI|TRRUST	20972454|20972454	1
NFKB1	MUC5AC	TRRUST	19841186	1
ETS2	ANPEP	TRRUST	14507917	1
TFAP2A	ADRA1A	TRRUST	10520459	1
MYB	CXCL12	HTRI	20043041	1
SOX10	PMP22	TRRUST	11734543	1
AR	AR	Fastforward	10551783	1
E2F4	LUC7L	ORegAnno	22951020	1
TFAP2A	ECM1	TRRUST	17187826	1
USF1	NPHS2	TRRUST	16572591	1
SP3	MMP2	HTRI|TRRUST	15317818|10506168|15317818	2
PPARA	APOB	TRRUST	11925428|16542871	2
PPARG	MMP9	TRRUST	20021931	1
NANOG	LXN	TRRUST	23364479	1
CREB1	SERPINE1	HTRI	20136501	1
CTCF	CRYAA	ORegAnno	22951020	1
NFE2L2	SOD2	TRRUST	22493435	1
CUX1	CR2	TRRUST	19487031	1
ZNF16	CDKN2A	HTRI	19340300	1
TWIST2	CDH2	TRRUST	19581928|21796367	2
GTF2I	SIRT1	TRRUST	21407215	1
HIF1A	ACE2	TRRUST	19592460	1
CREM	DUSP4	TRRUST	21325296	1
CEBPB	GADD45G	ORTI|TRRUST	|11012671	2
ZNF148	ODC1	TRRUST	10448078	1
PAX5	CDKN1A	TRRUST	22105368	1
STAT3	ABCA1	TRRUST	19783654	1
NR1I2	CLMP	HTRI	19129222	1
NFYB	ABCB1	TRRUST	18234965	1
ELK1	ZFP36	TRRUST	22433566	1
RELA	FAS	TRRUST	19628709|9733827|16784892|10871852|16317104	5
HIF1A	MMP2	TRRUST	17335808|17332917|18570733	3
HMGA1	IGFBP1	Fastforward	10102273|10358014|7532283|9322942	4
E2F1	CDK1	TFacTs|TRRUST	11799067|14618416	2
MAZ	MMP1	TRRUST	19028685	1
STAT1	FOXP3	TRRUST	19124747	1
MYCN	MCM2	HTRI|TRRUST	17826980|17826980	1
E2F4	SMARCA5	HTRI	11799066	1
CTNNB1	RB1	TRRUST	16628468	1
NR4A1	HSD3B2	TRRUST	15666793|15208301|20083153|23874725	4
MYC	CLNS1A	HTRI	12695333	1
HNF4A	AKR1C4	HTRI|ORegAnno|TFacTs|TRRUST	11284743|12220531|12220531||11284743|12220531|11284743	3
HBP1	CEBPA	TFacTs	|16179914	2
TP53	HIPK2	TRRUST	11740489	1
SPI1	FLI1	TRRUST	10523830	1
CDX2	FUT2	TRRUST	22547830	1
SFPQ	DNAAF4	TRRUST	18445785	1
MYB	CEBPA	TRRUST	10706719	1
SP1	MAOB	HTRI|TRRUST	11259630|11259630|20980443	2
RELA	OXTR	TRRUST	21734268	1
NKX3-1	CCND1	TRRUST	22179513	1
MITF	ACP5	TFacTs|TRRUST	1999537|11481336|15737031|11425859	4
YY1	POSTN	TRRUST	21839814	1
POU2F1	TWIST1	TRRUST	23836662	1
CTNNB1	CEACAM5	TFacTs	15890249	1
MYC	MDM2	HTRI	12695333	1
ATF4	FGF21	TRRUST	22233381	1
NR1H4	EDN1	TRRUST	16357303	1
JUNB	SFTPD	TRRUST	10915785	1
FOSB	DNAJB4	HTRI	17510411	1
GATA3	CD40LG	HTRI|TRRUST	18719603|18719603	1
EGR1	CHGA	TFacTs|TRRUST	|12456801|12456801	2
REL	CDKN1A	TRRUST	15566959	1
CTNNB1	EPCAM	TFacTs	18006828	1
NR1I2	CRCP	HTRI	19129222	1
ZNF382	STAT5B	TRRUST	20682794	1
ESRRA	NR2F6	TRRUST	15955695	1
FOXA1	EPHX1	PAZAR	15465926	1
SPIB	IL10	HTRI	20072143	1
EGR1	PPARG	HTRI|TRRUST	12011097|12011097	1
NR1I2	CSHL1	HTRI	19129222	1
NR1I3	UGT1A1	HTRI|TRRUST	11343253|18172616|11343253	2
TCF4	HECA	TRRUST	22100912	1
FOXO3	OGT	TFacTs	|12351634	2
SP1	C4B	TRRUST	9574539	1
NFYA	CCND2	TRRUST	9339900	1
TAL1	FCRL1	HTRI	20028976	1
MKL1	TAGLN	TRRUST	14970199	1
MYCN	MCM10	TRRUST	17826980	1
ZNF224	ALDOA	HTRI|TRRUST	17900823|16150558|17900823	2
MYB	WT1	TRRUST	18064385	1
STAT1	CFTR	TRRUST	19061877	1
POU2F1	GCM1	TRRUST	11071865	1
YY1	CCR5	TRRUST	12571248|15737629	2
AHR	FOS	HTRI|Fastforward|TRRUST	10478842|10478842|10478842	1
SP1	ADH6	TRRUST	12004059	1
ENO1	HSD3B2	TRRUST	15642786	1
STAT6	CYSLTR1	TRRUST	16210619	1
SP3	ETF1	TRRUST	14563555	1
USF1	BRCA2	Fastforward|TRRUST	10961992|10557089|10557089	2
CTCF	ACVR1C	ORegAnno	22951020	1
USF1	GLI1	Fastforward	11948912	1
CDX1	PTGS2	TRRUST	21613300	1
MYC	OCA2	HTRI	12695333	1
SP1	HPR	HTRI|TRRUST	12088866|12088866	1
BRCA1	STAT1	TRRUST	17374731	1
TWIST1	PFDN4	TRRUST	19051271	1
TP63	ZNRF2	HTRI|PAZAR	17521434|17521434	1
MYC	LMX1B	HTRI	12747840	1
TP53	CASP3	TRRUST	21859835	1
TP63	BHLHE40	Fastforward	18025081	1
TP53	SERPINB5	TFacTs	|17204482|10692390	3
JUN	MMP12	HTRI|TRRUST	12622720|11444842	2
SNAI1	VDR	TRRUST	15322538|16804902|20138990	3
SP1	PRNP	TRRUST	18990686|23131565	2
IFI16	WT1	TRRUST	18231640	1
PLAG1	IGF2	TRRUST	10646861|11284386|11888928|14695992|14712223|23023303	6
YY1	MYC	Fastforward|TFacTs|TRRUST	18490439||17434929|18490439|19279113|10528225|17434929|9797456	6
IRF1	BCL2	TRRUST	10918594	1
SP3	CYP3A7	HTRI|TRRUST	11495920|11495920	1
HDAC5	SLC2A4	TRRUST	22991226|23899560	2
SIRT1	TNFRSF10B	TRRUST	22483777	1
MBD2	POU5F1	TRRUST	22867868	1
NFE2L1	NQO1	TRRUST	11013233	1
RELA	SFTPA1	TRRUST	12040027	1
PLAG1	CRLF1	TRRUST	14712223	1
PAX6	SIX3	TRRUST	11554737	1
RFX5	HLA-DMA	TRRUST	11258423|7495736	2
MYB	GSTM1	TRRUST	14576818	1
STAT3	CYR61	TRRUST	22401280	1
NFKB1	GDNF	TRRUST	9729303	1
KRT3	TNF	ORegAnno	16027109	1
IFI16	ICAM1	TRRUST	17699163	1
HDAC4	WT1	TRRUST	18064385	1
E2F4	CDCA4	HTRI|TFacTs	16984923||16984923	2
TP53	CTSD	TRRUST	10029407	1
TFAP4	IFNG	TRRUST	12836278	1
NKX3-1	VEGFA	TRRUST	18974119	1
STAT6	ADRA2B	TRRUST	15037199	1
WT1	THBS1	TRRUST	15542786|15618543	2
TP53	SLC6A6	TRRUST	16734743	1
MYC	PIGF	HTRI	12747840	1
MYC	CMAS	HTRI	12747840	1
SP1	APOA1	HTRI|TRRUST	10829013|10829013	1
BRCA1	GADD45A	TRRUST	10962562|17428466|18025037|18350249|11777930|12647291	6
CTCF	PLXNB3	ORegAnno	22951020	1
PAX6	ITGB1	TRRUST	10954416	1
SP3	ID4	TRRUST	9516472	1
JUN	HEY1	TRRUST	15314183	1
ZNF143	TALDO1	TRRUST	14702349	1
DNMT1	SFRP5	TRRUST	24374650	1
CEBPA	HP	HTRI	12074569	1
SP1	PELO	TRRUST	17669516	1
RELA	CDH1	TRRUST	20683022	1
ESR1	VEGFA	HTRI|TRRUST	10995484|14647449|19398483|10995484|14647449	3
GLI1	DARS2	TFacTs	|11719506	2
CEBPB	KLF5	ORTI		1
ATF3	ID1	Fastforward|TRRUST	12718878|20565867	2
TP53	JAG2	HTRI	16980608	1
KCNIP3	FOS	Fastforward	10078534	1
RXRA	PLAT	HTRI|TFacTs	19538480|19538480	1
MAX	YBX1	Fastforward	12080043	1
ESR1	CDC25A	TFacTs	|16598773	2
SP1	IGFBP1	HTRI|TRRUST	8544848|2849945	2
NR1H2	ABCG8	TFacTs	|19258656	2
FABP4	DBH	PAZAR	9763470	1
CEBPB	DAPK1	TRRUST	19521987	1
RELA	NLRP2	TRRUST	18056399	1
CTNNB1	AKT1	TFacTs	pmid: 15888491	1
E2F1	CCND1	TFacTs|TRRUST	|7929342|10594784|20220142|20655656|8618861|19876926|22768064|8137237|9584162	10
SPI1	MS4A1	PAZAR|TRRUST	9354667|11226004|15892171|19769942	4
TCF3	CDK6	TRRUST	21788410	1
TP53	E2F3	TRRUST	20428827	1
PAX6	RELN	PAZAR	17014839	1
HIF1A	TWIST2	TRRUST	21931630	1
STAT1	CCR1	TRRUST	16628196	1
TWIST2	ERBB3	TRRUST	19051271	1
STAT3	HAMP	TFacTs|TRRUST	|16946298|18671304|16835372	4
STAT3	EGFR	TRRUST	21590492|23504318	2
GTF3A	ADM	TRRUST	12630823	1
TWIST1	NF1	TRRUST	19051271	1
E2F1	TP73	Fastforward|TRRUST	11034215|11988839|11115495|12766778|17980704|11988839|19188449	6
STAT3	S1PR1	TRRUST	21102457	1
LHX2	TSHB	TRRUST	22535646	1
PHF10	CASP3	TRRUST	20530714	1
TCF7L2	PTGS2	TRRUST	11396184	1
MEF2A	MMP10	TRRUST	19935709	1
WT1	STIM1	TRRUST	20123987	1
CTCF	GAS7	ORegAnno	22951020	1
MYC	RHOG	HTRI	12695333	1
TP73	POLD2	HTRI	19861536	1
NFKB1	IRF4	Fastforward|TRRUST	14581002|17018379	2
ATF4	TRIB3	TRRUST	15775988|20592469|21220698	3
STAT1	IL1B	TRRUST	17386941	1
RELA	OLR1	TRRUST	15001526	1
HDAC4	TGIF1	TRRUST	17610967	1
MYCN	GRHL1	TRRUST	24419085	1
MITF	BCL2A1	TRRUST	23447565	1
TCF3	CDKN2A	HTRI	15138269	1
NR1I2	NSMCE1	HTRI	19129222	1
CTNNB1	STARD7	TRRUST	21622533	1
BARD1	ESR1	TRRUST	20060929	1
SP1	CDH2	TRRUST	15541732	1
RELA	IRF1	Fastforward|TRRUST	18694960|18694960|12077266	2
HNF4A	APOA2	TRRUST	1639815	1
E2F4	CCNB1	TRRUST	22508987	1
TCF4	CCND1	TRRUST	20459685|19662654|19778454	3
E2F4	TTK	HTRI|TRRUST	11799066|17981789	2
GATA1	PRG2	TRRUST	10438731|12202480	2
STAT1	SERPINA3	PAZAR	9461605	1
NFIC	TP53	Fastforward	12145335|8816507	2
MYC	EIF5A2	HTRI	12695333	1
NFKB1	BRCA2	HTRI|Fastforward|TRRUST	10961992|10961992|10961992	1
YY1	TP73	TFacTs|TRRUST	|18029729|17980704	3
SMAD4	CYR61	TFacTs	|16616811	2
FOXA1	CEBPA	HTRI	19074951	1
TBPL1	NF1	Fastforward|TRRUST	15767669|15767669	1
KLF4	LAMA3	TRRUST	11551969	1
MYC	TAF8	HTRI	12695333	1
FLI1	MPL	TRRUST	15466856	1
NSD2	CDKN2A	HTRI	19340300	1
STAT1	CCL3	TRRUST	16628196	1
IRF7	IFNA13	TRRUST	12077266	1
NR1H4	KRT13	TRRUST	21619550	1
CREB1	MUC4	TRRUST	19757157|11418607	2
POU2F2	IL5	TRRUST	10491186	1
JUN	CCND1	HTRI|TFacTs|TRRUST	14672732||17637753|10500157|16393119|19435822|20220142|21474819|14672732	8
E2F3	PLK1	TFacTs|TRRUST	|18439978|16909110	3
EZH2	ADAMTS1	TRRUST	22514714	1
GATA3	SLCO4C1	TRRUST	23874392	1
CEBPA	HNF4A	Fastforward	16980607	1
E2F4	OIP5	HTRI	11799066	1
MTA1	MYC	TRRUST	12431981	1
HIF1A	ENO1	Fastforward|TRRUST	8955077|8089148|8955077	2
MYC	TP53	Fastforward|TRRUST	7969121|8494784|19086036	3
SP3	HPR	HTRI	12088866	1
KLF4	HBA1	TRRUST	20331458	1
NR4A1	E2F1	Fastforward|TFacTs|TRRUST	12947120||12947120|12947120	2
FOXA3	CYP3A4	TRRUST	19706729	1
NR1I2	RPS13	HTRI	19129222	1
KMT2C	HOXC6	TRRUST	21683083	1
MYC	NUP155	HTRI|TFacTs	12747840||12747840	2
SP3	ITGA2	HTRI|TRRUST	8887648|11238113	2
YY1	FCER1A	TRRUST	11971001	1
DEDD	FADD	TRRUST	17193921	1
USF2	ACP5	TRRUST	12663664	1
ETS1	TERT	TRRUST	20842112	1
PTMA	IDO2	TRRUST	21176371|21575365	2
SP1	MMP9	ORegAnno|TRRUST	24755270|19616522|21963718|11060311|18357389|7860222	6
NR3C1	ELK1	TRRUST	17016446	1
ATF4	IL6	TRRUST	16931790	1
ESR2	CLU	HTRI	20034404	1
PPARD	CAT	TRRUST	18048767	1
PPARG	SLC2A4	TRRUST	16670091	1
YY1	FDPS	HTRI|TFacTs|TRRUST	10318878||10318878|10318878	2
KLF2	CCR7	TRRUST	20146713	1
RELA	CXCR2	TRRUST	19156404|18555777	2
NFATC2	REL	Fastforward	17617603	1
NFKB1	CD58	TRRUST	9733827	1
SMAD3	SERPINE1	HTRI|TFacTs|TRRUST	17761371|19132220|17761371|24330518|9765209|10557285	5
TWIST2	NF1	TRRUST	19051271	1
JUN	OXTR	TRRUST	10218980	1
VDR	TRPV6	TRRUST	17293108|20227497|22563729	3
GLI2	ADD3	TFacTs	|14691458	2
RELA	TNFRSF9	TRRUST	12706838	1
NR1H3	ABCG5	TFacTs	|19258656	2
NR4A2	CYP11B2	PAZAR	14645496	1
NR2E3	ESR1	TRRUST	22174013	1
CREB5	TNFRSF11B	TRRUST	21132541	1
E2F1	PCSK6	TFacTs|TRRUST	|17825503|17825503	2
HIF1A	FGF2	TRRUST	19492421	1
NR1I2	DALRD3	HTRI	19129222	1
YY1	PSMD8	ORegAnno	22951020	1
YBX1	E2F1	TRRUST	22205655	1
TP53	HIST1H3A	HTRI	16980608	1
SP1	TEAD1	Fastforward	7642633	1
RELA	FST	HTRI	18226221	1
TCF4	CNTNAP2	TRRUST	22777675	1
ESR1	WNT5A	HTRI	20034404	1
NELFCD	CDKN1A	TRRUST	20735431	1
NR1I2	MUS81	HTRI	19129222	1
PDX1	PDX1	HTRI|Fastforward	11590182|10652343|11003654	3
IRF8	NF1	TRRUST	15371411	1
AR	C1orf116	HTRI	15525603	1
HOXA1	MYC	TRRUST	15665309	1
ELK1	EZH2	TRRUST	22222375	1
MYC	PIAS1	TFacTs	|11983916	2
RBMX	KIT	TRRUST	16707624	1
VHL	IGF1R	TRRUST	17486080|19509240	2
FOXO3	FXYD3	TFacTs	|12351634	2
VDR	CST5	TRRUST	19662683	1
ETS1	MMP10	TRRUST	20432469	1
TP53	HSF1	TRRUST	20180806	1
PPARG	FGF1	TRRUST	22522926	1
MYC	RUVBL2	TFacTs	|11983916	2
GSC	GSC2	TRRUST	9441739	1
TAL1	PPP3CA	HTRI	20028976	1
RELA	NRF1	TRRUST	20587593	1
TFAP2A	PLAUR	HTRI|TRRUST	17317820|17317820	1
PPARG	RORA	Fastforward	17545671	1
RELA	TF	TRRUST	12744731|22119392	2
LMO2	CDH1	TRRUST	17167821	1
ESR1	PGR	HTRI|Fastforward|TRRUST	12446585|18784357|10894148|10894148|10894148|12554765|10835496	5
SMAD4	SERPINE1	TRRUST	9765209	1
POU6F2	CDKN2A	HTRI	19340300	1
STAT1	SBNO2	ORegAnno	22951020	1
CREB1	TLR9	TRRUST	15294971	1
E2F1	NCOA3	Fastforward|TFacTs	16916939||16916939	2
HNF4A	LDLR	TRRUST	21123766	1
NFE2	AKR1C2	HTRI	16478829	1
PURA	ERBB2	TRRUST	22899247	1
EGF	STAT1	TRRUST	11939722	1
MYCN	MMS19	HTRI	16093321	1
RELA	CCR7	TRRUST	11830455|19164127|22158872	3
RELA	POU2F2	TRRUST	9360945	1
HNF4A	TBP	TRRUST	19805548	1
TFAP2A	HTT	Fastforward|TRRUST	9536082|11483245	2
SP1	CYP2F1	HTRI|TRRUST	15860659|15860659	1
FOXQ1	VEGFA	TRRUST	20145154	1
ETS2	LCK	TRRUST	7970721	1
HSF1	STIP1	TRRUST	20692357|22669480	2
FOXO3	VEGFA	TRRUST	21860419	1
MYC	METAP2	TFacTs	|11983916	2
MYC	BLK	HTRI	12695333	1
CEBPE	SPI1	TRRUST	12202480	1
OTX1	BEST1	TRRUST	18849347	1
STAT3	GAST	TRRUST	20568281|20949125	2
HES1	GLI1	HTRI	21169257	1
NR0B2	PCK2	TRRUST	17094771|15358835	2
HDAC9	IL18	TRRUST	11944905	1
STAT3	CCND3	TRRUST	15184887	1
ETS1	RAD51	TFacTs	|16398215	2
NFKB1	CCL22	TRRUST	17018379	1
HSF1	HOPX	TRRUST	22669480	1
PIAS4	MUC1	TRRUST	17717071	1
RFXAP	HLA-DMB	TRRUST	11258423	1
PTTG1	TIMP2	TRRUST	19351864	1
MEF2C	MECP2	TRRUST	20513142	1
MYC	CRIPT	HTRI	12747840	1
MITF	HERC2	TRRUST	22234890	1
SP1	PDHA1	TRRUST	8476854	1
STAT3	HSPB1	TRRUST	14715258	1
EPAS1	MSC	TRRUST	21081659	1
SP1	COL11A2	TRRUST	16734381	1
ESR1	AMH	TRRUST	13678390	1
IRF9	CDKN1A	TRRUST	15362048	1
RELA	NR4A1	HTRI	20018891	1
HIF1A	MT-CO2	HTRI	16818642	1
EP300	S100A4	TRRUST	17143014	1
PPARG	TP53	HTRI|Fastforward|TRRUST	16887883|16887883|14960510|16887883	2
STAT5B	IGF1	HTRI|TRRUST	15677453|22419735	2
RFX5	HLA-DPB1	TRRUST	11258423	1
SP1	ICAM1	TRRUST	15480988	1
EP300	TBXAS1	TRRUST	14565864	1
FOXF2	BAMBI	TRRUST	19562724	1
NR1I2	RGS6	HTRI	19129222	1
CNOT8	MSMB	TRRUST	15937477	1
E2F4	PRR11	HTRI	11799066	1
KLF5	BIRC5	HTRI|TRRUST	16595680|16595680	1
YY1	SPNS1	ORegAnno	22951020	1
BRCA1	E2F6	TRRUST	17096023	1
ATF2	APOC3	TRRUST	9760243	1
RELA	TNFSF10	TRRUST	11544302|20542572|21243522	3
E2F1	MYBL2	TRRUST	14618416|16299810	2
FUS	MDM2	TRRUST	17234782	1
IRF7	NR1H4	TRRUST	23372731	1
CEBPB	PCK2	TRRUST	8093246	1
FOXO1	WNT4	TFacTs	|17609436	2
GATA2	FCER1A	TRRUST	24639354	1
EWSR1	CCK	TRRUST	17438102	1
PPARGC1A	APOA5	TRRUST	16891307	1
ZEB1	SMAD4	ORegAnno	21421563	1
RELA	COL2A1	TRRUST	19022820	1
NFYC	GFI1B	TRRUST	19965638	1
GLI2	SYTL2	TFacTs	|14691458	2
MYC	EIF4B	HTRI	12747840	1
FOXM1	BRIP1	TRRUST	23108394	1
HIF1A	SDHB	TRRUST	17102089	1
RELA	HDAC7	TRRUST	21243522	1
ETV4	RAD51	TFacTs	|16398215	2
BTF3	MRVI1	TRRUST	17312387	1
MYB	WAS	TRRUST	10066431	1
SP1	SMAD7	Fastforward	16714330	1
RELA	CXCL8	HTRI|TFacTs|TRRUST	16818736|7876168|16455661|pazar_pleiades_20100814|15079071|10506755|10530453|11297551|11564889|12058956|15350531|15387324|15688424|15958549|16764699|17040605|17041011|17917246|18074095|18996370|22340043|22891766|7876168|15517885|8413215|10477716|11120852|11342414|11953364|12218154|12485925|12643600|12707271|12716652|14631383|14670967|15289496|15950427|16004996|16105834|16803583|17045242|18281166|19376732|19732956|19786024|19837667|19966855|8617886|8878392|9698090	50
ELF1	BRCA2	Fastforward|TRRUST	10557089|10557089	1
RUNX3	CFLAR	TRRUST	17956589	1
HDAC1	AR	TRRUST	11971970	1
HSF1	TNF	TRRUST	18689673	1
RELA	HES1	TRRUST	17876798	1
JUN	CSF1	TRRUST	7642615	1
NR1I2	NFIC	HTRI	19129222	1
NFKB1	HYAL1	TRRUST	18718911	1
RELA	NCOR2	TRRUST	17876798	1
NR1I2	ADAMTSL4	HTRI	19129222	1
XBP1	ERP29	TRRUST	19265690	1
